Running with LR=3e-05 and WD=3.9999999999999996e-05 for SEED=0
running multi task with positive
Epoch: [7][0/78]	Time 9.548 (9.548)	Data 8.881 (8.881)	Loss 5.7610 (5.7610)	
Epoch: [7][10/78]	Time 5.665 (4.575)	Data 4.990 (3.912)	Loss 5.8858 (5.8493)	
Epoch: [7][20/78]	Time 6.550 (4.384)	Data 5.879 (3.718)	Loss 5.7112 (5.8172)	
Epoch: [7][30/78]	Time 7.800 (4.391)	Data 7.132 (3.729)	Loss 5.9495 (5.8294)	
Epoch: [7][40/78]	Time 7.317 (4.382)	Data 6.652 (3.721)	Loss 5.8257 (5.8345)	
Epoch: [7][50/78]	Time 6.385 (4.351)	Data 5.723 (3.690)	Loss 5.9302 (5.8135)	
Epoch: [7][60/78]	Time 5.841 (4.325)	Data 5.174 (3.660)	Loss 5.7145 (5.8091)	
Epoch: [7][70/78]	Time 0.960 (4.267)	Data 0.311 (3.602)	Loss 5.5353 (5.8009)	
Epoch: [8][0/78]	Time 9.167 (9.167)	Data 8.471 (8.471)	Loss 5.8524 (5.8524)	
Epoch: [8][10/78]	Time 8.159 (4.700)	Data 7.449 (4.007)	Loss 5.7852 (5.7186)	
Epoch: [8][20/78]	Time 8.236 (4.485)	Data 7.549 (3.791)	Loss 5.7962 (5.7331)	
Epoch: [8][30/78]	Time 8.032 (4.456)	Data 7.337 (3.762)	Loss 5.6556 (5.7154)	
Epoch: [8][40/78]	Time 7.919 (4.469)	Data 7.215 (3.774)	Loss 5.6807 (5.6920)	
Epoch: [8][50/78]	Time 8.598 (4.469)	Data 7.905 (3.776)	Loss 5.5677 (5.6786)	
Epoch: [8][60/78]	Time 7.398 (4.420)	Data 6.700 (3.731)	Loss 5.5032 (5.6657)	
Epoch: [8][70/78]	Time 7.151 (4.373)	Data 6.453 (3.685)	Loss 5.5576 (5.6483)	
Epoch: [9][0/78]	Time 8.335 (8.335)	Data 7.626 (7.626)	Loss 5.6573 (5.6573)	
Epoch: [9][10/78]	Time 7.446 (4.441)	Data 6.735 (3.753)	Loss 5.4517 (5.5356)	
Epoch: [9][20/78]	Time 8.201 (4.421)	Data 7.507 (3.738)	Loss 5.4602 (5.5266)	
Epoch: [9][30/78]	Time 7.752 (4.371)	Data 7.079 (3.690)	Loss 5.5127 (5.5363)	
Epoch: [9][40/78]	Time 8.668 (4.327)	Data 7.977 (3.649)	Loss 5.3073 (5.5315)	
Epoch: [9][50/78]	Time 7.610 (4.323)	Data 6.933 (3.647)	Loss 5.5934 (5.5325)	
Epoch: [9][60/78]	Time 8.817 (4.325)	Data 8.146 (3.651)	Loss 5.4628 (5.5200)	
Epoch: [9][70/78]	Time 7.494 (4.288)	Data 6.811 (3.614)	Loss 5.4880 (5.5144)	
Epoch: [10][0/78]	Time 9.455 (9.455)	Data 8.783 (8.783)	Loss 5.2790 (5.2790)	
Epoch: [10][10/78]	Time 7.353 (4.610)	Data 6.644 (3.943)	Loss 5.3784 (5.3526)	
Epoch: [10][20/78]	Time 9.024 (4.506)	Data 8.331 (3.835)	Loss 5.3915 (5.4055)	
Epoch: [10][30/78]	Time 6.857 (4.369)	Data 6.194 (3.694)	Loss 5.2841 (5.3990)	
Epoch: [10][40/78]	Time 3.655 (4.237)	Data 2.955 (3.564)	Loss 5.3905 (5.3879)	
Epoch: [10][50/78]	Time 5.000 (4.213)	Data 4.323 (3.537)	Loss 5.2302 (5.3747)	
Epoch: [10][60/78]	Time 4.461 (4.238)	Data 3.763 (3.560)	Loss 5.3158 (5.3670)	
Epoch: [10][70/78]	Time 5.160 (4.236)	Data 4.481 (3.557)	Loss 5.3743 (5.3714)	
